# This data file was created on Wed Mar  8 12:56:55 2017
# capacitor 2-19; sample GBA120; helium cool down
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage
# DC bias set to OFF
1489003035.003165, 284.049, 283.743, 10000.0, 1.75997, 0.000169, 15.0
1489003047.418985, 284.069, 283.762, 1000.0, 1.7603427, 0.0001427, 15.0
1489003094.945182, 284.144, 283.834, 100.0, 1.760667, 0.000118, 1.5
1489003105.366385, 284.16, 283.85, 10000.0, 1.759969, 0.0001727, 15.0
1489003117.803894, 284.18, 283.868, 1000.0, 1.760341, 0.000144, 15.0
1489003165.348187, 284.255, 283.939, 100.0, 1.76063, 0.000113, 1.5
1489003175.758481, 284.271, 283.954, 10000.0, 1.7599674, 0.0001734, 15.0
1489003188.191447, 284.29, 283.973, 1000.0, 1.7603414, 0.000144, 15.0
1489003235.720724, 284.364, 284.043, 100.0, 1.760638, 0.000114, 1.5
1489003246.144282, 284.38, 284.058, 10000.0, 1.759967, 0.0001711, 15.0
1489003258.552905, 284.4, 284.076, 1000.0, 1.7603424, 0.0001438, 15.0
1489003306.068982, 284.473, 284.146, 100.0, 1.760665, 0.000128, 1.5
1489003316.500299, 284.488, 284.161, 10000.0, 1.759971, 0.0001715, 15.0
1489003329.049986, 284.508, 284.179, 1000.0, 1.760342, 0.0001437, 15.0
1489003376.88595, 284.581, 284.249, 100.0, 1.760631, 0.00012, 1.5
1489003387.434982, 284.598, 284.264, 10000.0, 1.759966, 0.0001704, 15.0
1489003400.001003, 284.617, 284.282, 1000.0, 1.760341, 0.0001437, 15.0
1489003447.809813, 284.689, 284.351, 100.0, 1.760642, 0.000119, 1.5
1489003458.359045, 284.705, 284.366, 10000.0, 1.759969, 0.0001703, 15.0
1489003470.914422, 284.724, 284.384, 1000.0, 1.760341, 0.0001448, 15.0
1489003518.749712, 284.796, 284.453, 100.0, 1.760651, 0.000123, 1.5
1489003529.299151, 284.812, 284.471, 10000.0, 1.7600207, 0.0001735, 15.0
1489003541.809907, 284.83, 284.494, 1000.0, 1.760399, 0.0001454, 15.0
1489003589.358992, 284.903, 284.669, 100.0, 1.76069, 0.0001345, 1.5
1489003599.78541, 284.92, 284.745, 10000.0, 1.760027, 0.0001715, 15.0
1489003612.196374, 284.94, 284.846, 1000.0, 1.760397, 0.000144, 15.0
1489003659.718352, 285.03, 285.289, 100.0, 1.760697, 0.0001232, 1.5
1489003670.13541, 285.052, 285.395, 10000.0, 1.760021, 0.0001735, 15.0
1489003682.581909, 285.079, 285.525, 1000.0, 1.7603971, 0.0001441, 15.0
1489003730.121273, 285.612, 286.056, 100.0, 1.760684, 0.000123, 1.5
1489003740.532028, 285.637, 286.127, 10000.0, 1.7600155, 0.0001762, 15.0
1489003752.966945, 285.664, 285.982, 1000.0, 1.76039, 0.0001454, 15.0
1489003800.512145, 285.646, 277.655, 100.0, 1.760702, 0.000123, 1.5
1489003810.925003, 285.575, 274.195, 10000.0, 1.760021, 0.000171, 15.0
1489003823.353594, 285.444, 269.665, 1000.0, 1.760394, 0.0001448, 15.0
1489003870.888894, 284.408, 251.132, 100.0, 1.7606962, 0.0001224, 1.5
1489003881.310005, 284.071, 247.163, 10000.0, 1.7600444, 0.0001732, 15.0
1489003893.734522, 283.624, 242.518, 1000.0, 1.760415, 0.000144, 15.0
1489003941.244515, 281.506, 225.727, 100.0, 1.76074, 0.0001311, 1.5
1489003951.644035, 280.964, 222.266, 10000.0, 1.7600633, 0.0001727, 15.0
1489003964.070261, 280.281, 218.25, 1000.0, 1.7604497, 0.0001438, 15.0
1489004011.616804, 277.363, 203.851, 100.0, 1.760783, 0.0001204, 1.5
1489004022.035504, 276.671, 200.894, 10000.0, 1.760111, 0.0001738, 15.0
1489004034.456982, 275.817, 197.469, 1000.0, 1.760495, 0.0001434, 15.0
1489004081.97876, 272.379, 185.142, 100.0, 1.760809, 0.000118, 1.5
1489004092.385694, 271.586, 182.6, 10000.0, 1.760175, 0.0001727, 15.0
1489004104.807527, 270.625, 179.64, 1000.0, 1.760561, 0.0001436, 15.0
1489004152.338964, 266.786, 169.048, 100.0, 1.760896, 0.000124, 1.5
1489004162.76033, 265.916, 166.859, 10000.0, 1.7602512, 0.0001723, 15.0
1489004175.208854, 264.86, 164.303, 1000.0, 1.760636, 0.000144, 15.0
1489004222.724016, 260.707, 155.182, 100.0, 1.761155, 0.0001312, 1.5
1489004233.140017, 259.771, 153.296, 10000.0, 1.7605126, 0.0001722, 15.0
1489004245.577739, 258.653, 151.113, 1000.0, 1.760903, 0.000143, 15.0
1489004293.103405, 254.299, 143.215, 100.0, 1.761242, 0.0001232, 1.5
1489004303.52601, 253.334, 141.586, 10000.0, 1.7606099, 0.000171, 15.0
1489004315.95052, 252.178, 139.685, 1000.0, 1.761005, 0.0001441, 15.0
1489004363.472959, 247.699, 132.827, 100.0, 1.76135, 0.0001204, 1.5
1489004373.909795, 246.705, 131.403, 10000.0, 1.760731, 0.0001771, 15.0
1489004386.32664, 245.524, 129.752, 1000.0, 1.761131, 0.000144, 15.0
1489004433.876679, 240.988, 123.745, 100.0, 1.761486, 0.0001267, 1.5
1489004444.305771, 239.99, 122.492, 10000.0, 1.760868, 0.000174, 15.0
1489004456.740053, 238.805, 121.038, 1000.0, 1.76127, 0.000145, 15.0
1489004504.538749, 234.249, 115.733, 100.0, 1.761629, 0.000125, 1.5
1489004515.080197, 233.238, 114.615, 10000.0, 1.761025, 0.0001737, 15.0
1489004527.637543, 232.036, 113.316, 1000.0, 1.7614292, 0.0001426, 15.0
1489004575.481369, 227.478, 108.629, 100.0, 1.761784, 0.000131, 1.5
1489004586.030773, 226.478, 107.632, 10000.0, 1.7612, 0.000175, 15.0
1489004598.59647, 225.289, 106.472, 1000.0, 1.7616048, 0.0001442, 15.0
1489004646.432469, 220.795, 102.296, 100.0, 1.761972, 0.0001259, 1.5
1489004656.927756, 219.809, 101.428, 10000.0, 1.7613906, 0.000174, 15.0
1489004669.346766, 218.645, 100.42, 1000.0, 1.7618016, 0.0001439, 15.0
1489004716.87572, 214.222, 96.688, 100.0, 1.762182, 0.000115, 1.5
1489004727.283772, 213.263, 95.914, 10000.0, 1.761597, 0.0001708, 15.0
1489004739.708245, 212.121, 95.004, 1000.0, 1.762005, 0.0001437, 15.0
1489004787.252241, 207.781, 91.668, 100.0, 1.762401, 0.000119, 1.5
1489004797.674788, 206.84, 90.968, 10000.0, 1.761812, 0.0001697, 15.0
1489004810.094757, 205.721, 90.147, 1000.0, 1.762231, 0.000143, 15.0
1489004857.632616, 201.44, 87.164, 100.0, 1.762622, 0.000116, 1.5
1489004868.061609, 200.506, 86.528, 10000.0, 1.7620614, 0.0001666, 15.0
1489004880.467351, 199.401, 85.784, 1000.0, 1.762472, 0.000144, 15.0
1489004927.988219, 195.212, 83.052, 100.0, 1.762884, 0.0001107, 1.5
1489004938.417323, 194.299, 82.483, 10000.0, 1.762325, 0.00016, 15.0
1489004950.836132, 193.219, 81.814, 1000.0, 1.7627339, 0.0001424, 15.0
1489004998.629163, 189.096, 79.319, 100.0, 1.763142, 0.000124, 1.5
1489005009.189111, 188.187, 78.788, 10000.0, 1.762588, 0.0001588, 15.0
1489005021.744623, 187.108, 78.165, 1000.0, 1.76299, 0.0001395, 15.0
1489005069.579533, 183.046, 75.894, 100.0, 1.7634085, 0.0001265, 1.5
1489005080.12355, 182.16, 75.412, 10000.0, 1.7628824, 0.000155, 15.0
1489005092.689123, 181.111, 74.844, 1000.0, 1.763288, 0.00014, 15.0
1489005140.530025, 177.145, 72.734, 100.0, 1.76373, 0.000119, 1.5
1489005151.097602, 176.278, 72.285, 10000.0, 1.763219, 0.0001524, 15.0
1489005163.666432, 175.248, 71.759, 1000.0, 1.763621, 0.000139, 15.0
1489005211.480845, 171.389, 69.832, 100.0, 1.764047, 0.000124, 1.5
1489005222.029743, 170.546, 69.421, 10000.0, 1.763532, 0.000153, 15.0
1489005234.581849, 169.542, 68.938, 1000.0, 1.763929, 0.000136, 15.0
1489005282.38312, 165.746, 67.136, 100.0, 1.76436, 0.000115, 1.5
1489005292.932252, 164.916, 66.748, 10000.0, 1.763855, 0.0001559, 15.0
1489005305.492402, 163.932, 66.294, 1000.0, 1.764243, 0.000136, 15.0
1489005353.323573, 160.22, 64.633, 100.0, 1.764658, 0.000111, 1.5
1489005363.872528, 159.403, 64.28, 10000.0, 1.764173, 0.0001496, 15.0
1489005376.427331, 158.431, 63.868, 1000.0, 1.764559, 0.000134, 15.0
1489005424.262612, 154.768, 62.333, 100.0, 1.764961, 0.000112, 1.5
1489005434.82022, 153.966, 62.003, 10000.0, 1.764483, 0.0001513, 15.0
1489005447.368961, 153.014, 61.615, 1000.0, 1.764862, 0.0001335, 15.0
1489005495.218682, 149.424, 60.18, 100.0, 1.765267, 0.000111, 1.5
1489005505.778304, 148.678, 59.87, 10000.0, 1.764796, 0.0001535, 15.0
1489005518.35311, 147.913, 59.505, 1000.0, 1.765174, 0.000133, 15.0
1489005566.211172, 146.429, 58.175, 100.0, 1.765498, 0.000112, 1.5
1489005576.755905, 145.883, 57.899, 10000.0, 1.764979, 0.0001592, 15.0
1489005589.310581, 144.96, 57.574, 1000.0, 1.765355, 0.000131, 15.0
1489005637.150336, 141.335, 56.372, 100.0, 1.765754, 0.0001033, 1.5
1489005647.716581, 140.543, 56.108, 10000.0, 1.7652262, 0.000167, 15.0
1489005660.303806, 139.598, 55.795, 1000.0, 1.765667, 0.000138, 15.0
1489005708.12986, 136.035, 54.625, 100.0, 1.766013, 0.0001189, 1.5
1489005718.672364, 135.26, 54.371, 10000.0, 1.7655285, 0.0001762, 15.0
1489005731.200845, 134.331, 54.073, 1000.0, 1.76596, 0.000139, 15.0
1489005778.881483, 130.828, 52.97, 100.0, 1.766366, 0.000121, 1.5
1489005789.313506, 130.07, 52.734, 10000.0, 1.765767, 0.0001868, 15.0
1489005801.732106, 129.163, 52.453, 1000.0, 1.766229, 0.00015, 15.0
1489005849.291343, 125.711, 51.395, 100.0, 1.766611, 0.0001288, 1.5
1489005859.704013, 124.957, 51.165, 10000.0, 1.765961, 0.0001913, 15.0
1489005872.130686, 124.059, 50.896, 1000.0, 1.766449, 0.000166, 15.0
1489005919.657515, 120.639, 49.901, 100.0, 1.766934, 0.000107, 1.5
1489005930.079495, 119.894, 49.689, 10000.0, 1.7661251, 0.0001829, 15.0
1489005942.516037, 118.998, 49.439, 1000.0, 1.766627, 0.0001827, 15.0
1489005990.052617, 115.604, 48.498, 100.0, 1.767116, 0.000161, 1.5
1489006000.479341, 114.866, 46.523, 10000.0, 1.766265, 0.0001793, 15.0
1489006012.879727, 113.954, 34.68, 1000.0, 1.766737, 0.000192, 15.0
1489006060.400682, 108.352, 19.568, 100.0, 1.767173, 0.0001658, 1.5
1489006070.814399, 106.871, 19.183, 10000.0, 1.766364, 0.000174, 15.0
1489006083.247077, 105.089, 18.863, 1000.0, 1.766762, 0.000179, 15.0
1489006130.769316, 98.661, 22.302, 100.0, 1.767149, 0.000192, 1.5
1489006141.196368, 98.171, 22.277, 10000.0, 1.7663313, 0.0002274, 15.0
1489006153.628024, 98.276, 22.168, 1000.0, 1.766679, 0.000157, 15.0
1489006201.148924, 98.698, 21.861, 100.0, 1.767082, 0.000196, 1.5
1489006211.57046, 98.438, 21.791, 10000.0, 1.7663435, 0.0002304, 15.0
1489006223.986901, 98.059, 21.663, 1000.0, 1.766686, 0.00016, 15.0
1489006271.507526, 96.409, 21.307, 100.0, 1.767024, 0.000212, 1.5
1489006281.928576, 96.051, 21.251, 10000.0, 1.7662909, 0.0002691, 15.0
1489006294.34805, 95.629, 21.157, 1000.0, 1.76664, 0.000156, 15.0
1489006341.89006, 94.023, 20.121, 100.0, 1.76691, 0.0001731, 1.5
1489006352.332947, 93.678, 20.069, 10000.0, 1.7661911, 0.0003243, 15.0
1489006364.756413, 93.27, 20.007, 1000.0, 1.7665685, 0.0001606, 15.0
1489006412.294023, 91.711, 19.764, 100.0, 1.766857, 0.0001384, 1.5
1489006422.704056, 91.366, 19.707, 10000.0, 1.766056, 0.000406, 15.0
1489006435.249201, 90.952, 19.653, 1000.0, 1.766476, 0.0001687, 15.0
1489006483.074707, 89.358, 19.413, 100.0, 1.7667196, 0.0001513, 1.5
1489006493.60124, 89.008, 19.363, 10000.0, 1.7658729, 0.0005289, 15.0
1489006506.162029, 88.593, 19.293, 1000.0, 1.766368, 0.0001868, 15.0
1489006554.003264, 87.006, 19.087, 100.0, 1.766606, 0.000131, 1.5
1489006564.567835, 86.653, 19.046, 10000.0, 1.765585, 0.000714, 15.0
1489006577.127977, 86.236, 18.979, 1000.0, 1.766229, 0.000219, 15.0
1489006624.969121, 84.642, 18.785, 100.0, 1.766358, 0.000124, 1.5
1489006635.52589, 84.291, 18.751, 10000.0, 1.765104, 0.0009578, 15.0
1489006648.062531, 83.875, 18.684, 1000.0, 1.766051, 0.000266, 15.0
1489006695.914341, 82.287, 18.5, 100.0, 1.766289, 0.000133, 1.5
1489006706.458254, 81.937, 18.465, 10000.0, 1.764391, 0.0012397, 15.0
1489006719.02918, 81.519, 18.416, 1000.0, 1.765829, 0.00035, 15.0
1489006766.856305, 79.928, 18.233, 100.0, 1.766108, 0.000142, 1.5
1489006777.41405, 79.578, 18.194, 10000.0, 1.763359, 0.0015328, 15.0
1489006789.963713, 79.165, 18.156, 1000.0, 1.765528, 0.000489, 15.0
1489006837.78339, 77.591, 17.983, 100.0, 1.765826, 0.00018, 1.5
1489006848.306256, 77.244, 17.949, 10000.0, 1.7620429, 0.00177, 15.0
1489006860.866835, 76.828, 17.901, 1000.0, 1.7650973, 0.0006897, 15.0
1489006908.706973, 75.245, 17.743, 100.0, 1.765622, 0.0002106, 1.5
1489006919.240257, 74.894, 17.703, 10000.0, 1.7604981, 0.0019262, 15.0
1489006931.787346, 74.473, 17.659, 1000.0, 1.76444, 0.000981, 15.0
1489006979.631252, 72.882, 17.499, 100.0, 1.765317, 0.0003, 1.5
1489006990.175024, 72.533, 17.463, 10000.0, 1.75882, 0.0019532, 15.0
1489007002.726233, 72.118, 17.427, 1000.0, 1.763424, 0.0013082, 15.0
1489007050.560221, 70.533, 17.256, 100.0, 1.765009, 0.000516, 1.5
1489007061.109142, 70.182, 17.22, 10000.0, 1.757146, 0.0018843, 15.0
1489007073.664624, 69.762, 17.177, 1000.0, 1.762035, 0.001608, 15.0
1489007121.499974, 68.171, 17.018, 100.0, 1.764428, 0.000687, 1.5
1489007132.051619, 67.821, 16.987, 10000.0, 1.7555215, 0.0017487, 15.0
1489007144.612471, 67.405, 16.936, 1000.0, 1.760297, 0.0017968, 15.0
1489007192.456011, 65.819, 16.784, 100.0, 1.76353, 0.001028, 1.5
1489007203.013832, 65.469, 16.746, 10000.0, 1.753999, 0.001578, 15.0
1489007215.597819, 65.051, 16.706, 1000.0, 1.758283, 0.0018432, 15.0
1489007263.412515, 63.465, 16.552, 100.0, 1.762173, 0.00138, 1.5
1489007273.939377, 63.117, 16.516, 10000.0, 1.752569, 0.001411, 15.0
1489007286.481383, 62.703, 16.474, 1000.0, 1.7563923, 0.0017505, 15.0
1489007334.328226, 61.126, 16.315, 100.0, 1.760339, 0.001644, 1.5
1489007344.882034, 60.776, 16.286, 10000.0, 1.751288, 0.0012764, 15.0
1489007357.423551, 60.36, 16.237, 1000.0, 1.75458, 0.001585, 15.0
1489007405.227391, 58.771, 16.078, 100.0, 1.75821, 0.001723, 1.5
1489007415.771064, 58.422, 16.031, 10000.0, 1.7500732, 0.0011782, 15.0
1489007428.321055, 58.005, 15.992, 1000.0, 1.752931, 0.0013834, 15.0
1489007476.14574, 56.405, 15.829, 100.0, 1.75611, 0.001657, 1.5
1489007486.684176, 56.056, 15.795, 10000.0, 1.748903, 0.001105, 15.0
1489007499.234075, 55.64, 15.753, 1000.0, 1.751449, 0.001201, 15.0
1489007546.948769, 54.143, 15.596, 100.0, 1.753865, 0.001429, 1.5
1489007557.35726, 53.81, 15.549, 10000.0, 1.7478079, 0.0010495, 15.0
1489007569.781618, 53.404, 15.507, 1000.0, 1.750156, 0.001067, 15.0
1489007617.314238, 51.828, 15.334, 100.0, 1.752283, 0.001249, 1.5
1489007627.737005, 51.48, 15.295, 10000.0, 1.746685, 0.001007, 15.0
1489007640.169658, 51.092, 17.124, 1000.0, 1.748938, 0.000957, 15.0
1489007687.690285, 49.604, 17.19, 100.0, 1.750838, 0.001043, 1.5
1489007698.106429, 49.247, 17.142, 10000.0, 1.745716, 0.0009552, 15.0
1489007710.52075, 48.818, 17.061, 1000.0, 1.747835, 0.000891, 15.0
1489007758.052551, 47.234, 16.847, 100.0, 1.749289, 0.000883, 1.5
1489007768.479552, 46.891, 16.826, 10000.0, 1.7446712, 0.0009017, 15.0
1489007780.884279, 46.479, 16.761, 1000.0, 1.746703, 0.000841, 15.0
1489007828.420547, 44.895, 16.532, 100.0, 1.748161, 0.000793, 1.5
1489007838.828562, 44.549, 16.469, 10000.0, 1.743762, 0.000856, 15.0
1489007851.24679, 44.138, 16.41, 1000.0, 1.745643, 0.000797, 15.0
1489007898.904464, 42.562, 16.182, 100.0, 1.747088, 0.000679, 1.5
1489007909.448151, 42.213, 16.126, 10000.0, 1.7428463, 0.000762, 15.0
1489007922.015335, 41.796, 16.067, 1000.0, 1.74462, 0.000748, 15.0
1489007969.860088, 40.213, 15.866, 100.0, 1.745896, 0.00067, 1.5
1489007980.409395, 39.864, 15.809, 10000.0, 1.742139, 0.0006882, 15.0
1489007992.975577, 39.448, 15.74, 1000.0, 1.743741, 0.000691, 15.0
1489008040.816388, 37.865, 15.5, 100.0, 1.744904, 0.000626, 1.5
1489008051.383306, 37.516, 15.459, 10000.0, 1.7414394, 0.0006093, 15.0
1489008063.926085, 37.103, 15.413, 1000.0, 1.742894, 0.000628, 15.0
1489008111.718009, 35.534, 15.168, 100.0, 1.74403, 0.00062, 1.5
1489008122.273254, 35.187, 15.108, 10000.0, 1.7408585, 0.0005433, 15.0
1489008134.839031, 34.77, 15.048, 1000.0, 1.742132, 0.00057, 15.0
1489008182.662327, 33.197, 14.799, 100.0, 1.74317, 0.000583, 1.5
1489008193.191615, 32.852, 14.74, 10000.0, 1.7403054, 0.0004887, 15.0
1489008205.720189, 32.44, 14.702, 1000.0, 1.7414518, 0.0005025, 15.0
1489008253.555478, 30.996, 14.462, 100.0, 1.74239, 0.000454, 1.5
1489008264.069981, 30.667, 14.424, 10000.0, 1.739842, 0.0004436, 15.0
1489008276.622736, 30.262, 14.344, 1000.0, 1.7408617, 0.000453, 15.0
1489008324.442018, 28.726, 14.107, 100.0, 1.74168, 0.000482, 1.5
1489008334.975061, 28.384, 14.056, 10000.0, 1.739418, 0.0003944, 15.0
1489008347.535923, 27.969, 13.98, 1000.0, 1.740342, 0.0004034, 15.0
1489008395.355391, 26.431, 13.756, 100.0, 1.741009, 0.000397, 1.5
1489008405.905668, 26.07, 13.701, 10000.0, 1.7390647, 0.000361, 15.0
1489008418.472026, 25.702, 13.643, 1000.0, 1.739889, 0.00036, 15.0
1489008466.284482, 24.098, 13.421, 100.0, 1.740481, 0.000351, 1.5
1489008476.817348, 23.793, 13.371, 10000.0, 1.7387623, 0.0003331, 15.0
1489008489.361954, 23.377, 13.324, 1000.0, 1.739508, 0.000326, 15.0
1489008537.197551, 21.814, 13.106, 100.0, 1.74003, 0.000317, 1.5
1489008547.715126, 21.47, 13.075, 10000.0, 1.7385062, 0.0003085, 15.0
1489008560.26964, 21.07, 13.019, 1000.0, 1.73919, 0.0003024, 15.0
1489008608.103156, 19.526, 12.856, 100.0, 1.739707, 0.000264, 1.5
1489008618.639532, 19.187, 12.814, 10000.0, 1.738308, 0.0002968, 15.0
1489008631.186913, 18.788, 12.778, 1000.0, 1.738926, 0.00028, 15.0
1489008679.012668, 17.293, 12.618, 100.0, 1.739394, 0.00026, 1.5
1489008689.562399, 16.982, 12.597, 10000.0, 1.738056, 0.0002767, 15.0
1489008702.091115, 16.906, 12.579, 1000.0, 1.738674, 0.000267, 15.0
1489008749.931944, 15.835, 12.473, 100.0, 1.739054, 0.000228, 1.5
1489008760.486239, 15.664, 12.462, 10000.0, 1.738008, 0.0002784, 15.0
1489008773.038712, 15.56, 12.439, 1000.0, 1.738544, 0.000262, 15.0
1489008820.855669, 15.454, 12.433, 100.0, 1.739069, 0.000174, 1.5
1489008831.409235, 15.439, 12.433, 10000.0, 1.737917, 0.000276, 15.0
1489008843.964306, 15.426, 12.437, 1000.0, 1.738534, 0.000268, 15.0
1489008891.811383, 15.39, 12.443, 100.0, 1.73917, 0.000195, 1.5
1489008902.365807, 15.387, 12.435, 10000.0, 1.7378662, 0.0002673, 15.0
1489008914.908161, 15.377, 12.44, 1000.0, 1.738496, 0.000259, 15.0
1489008962.756756, 15.356, 12.446, 100.0, 1.73904, 0.00019, 1.5
1489008973.273813, 15.351, 12.45, 10000.0, 1.7378248, 0.0002692, 15.0
1489008985.82857, 15.346, 12.449, 1000.0, 1.738445, 0.000257, 15.0
1489009033.669814, 15.325, 12.451, 100.0, 1.738907, 0.000257, 1.5
1489009044.208461, 15.322, 12.449, 10000.0, 1.7378, 0.0002655, 15.0
1489009056.763739, 15.316, 12.448, 1000.0, 1.738405, 0.0002569, 15.0
1489009104.588294, 15.306, 12.461, 100.0, 1.738847, 0.000208, 1.5
1489009115.145716, 15.306, 12.462, 10000.0, 1.7377588, 0.0002648, 15.0
1489009127.687391, 15.303, 12.464, 1000.0, 1.738384, 0.0002583, 15.0
1489009175.522825, 15.29, 12.47, 100.0, 1.738902, 0.000237, 1.5
1489009186.061546, 15.288, 12.478, 10000.0, 1.7377601, 0.0002668, 15.0
1489009198.621714, 15.289, 12.472, 1000.0, 1.738364, 0.000261, 15.0
1489009246.463682, 15.285, 12.482, 100.0, 1.73889, 0.0002, 1.5
1489009257.011712, 15.285, 12.489, 10000.0, 1.73776, 0.0002633, 15.0
1489009269.556, 15.282, 12.488, 1000.0, 1.738362, 0.000255, 15.0
1489009317.370953, 15.287, 12.493, 100.0, 1.738884, 0.000243, 1.5
1489009327.918236, 15.28, 12.5, 10000.0, 1.737744, 0.0002617, 15.0
1489009340.490494, 15.281, 12.496, 1000.0, 1.738362, 0.000255, 15.0
1489009388.305104, 15.274, 12.52, 100.0, 1.73883, 0.000251, 1.5
1489009398.859522, 15.281, 12.521, 10000.0, 1.7377297, 0.0002648, 15.0
1489009411.431018, 15.282, 12.523, 1000.0, 1.738337, 0.000259, 15.0
1489009459.266144, 15.279, 12.53, 100.0, 1.73885, 0.000293, 1.5
1489009469.815618, 15.273, 12.534, 10000.0, 1.7377078, 0.0002594, 15.0
1489009482.37594, 15.276, 12.533, 1000.0, 1.738295, 0.000254, 15.0
1489009530.200626, 15.276, 12.546, 100.0, 1.738873, 0.000218, 1.5
1489009540.744525, 15.278, 12.554, 10000.0, 1.737665, 0.0002617, 15.0
1489009553.284394, 15.28, 12.557, 1000.0, 1.738278, 0.000252, 15.0
1489009601.103345, 15.296, 12.578, 100.0, 1.738808, 0.000218, 1.5
1489009611.625659, 15.297, 12.583, 10000.0, 1.7376628, 0.0002579, 15.0
1489009624.186444, 15.297, 12.59, 1000.0, 1.738275, 0.000251, 15.0
1489009672.004141, 15.308, 12.6, 100.0, 1.738746, 0.000192, 1.5
1489009682.543414, 15.31, 12.604, 10000.0, 1.737664, 0.0002617, 15.0
1489009695.094371, 15.313, 12.605, 1000.0, 1.738278, 0.000254, 15.0
1489009742.904833, 15.319, 12.627, 100.0, 1.738794, 0.000264, 1.5
1489009753.459476, 15.324, 12.634, 10000.0, 1.73764, 0.0002577, 15.0
1489009766.011704, 15.326, 12.645, 1000.0, 1.738253, 0.0002531, 15.0
1489009813.847877, 14.205, 10.458, 100.0, 1.738844, 0.000272, 1.5
1489009824.397048, 13.661, 10.415, 10000.0, 1.7375556, 0.0002555, 15.0
1489009836.943492, 14.14, 11.767, 1000.0, 1.738136, 0.0002451, 15.0
1489009884.74542, 14.593, 11.825, 100.0, 1.738681, 0.000241, 1.5
1489009895.299808, 14.602, 11.845, 10000.0, 1.7375895, 0.0002573, 15.0
1489009907.833582, 14.605, 11.835, 1000.0, 1.738182, 0.00025, 15.0
1489009955.674013, 14.623, 11.87, 100.0, 1.738649, 0.000161, 1.5
1489009966.22377, 14.627, 11.878, 10000.0, 1.7375928, 0.0002539, 15.0
1489009978.752115, 14.632, 11.881, 1000.0, 1.738192, 0.0002491, 15.0
1489010026.566552, 14.652, 11.915, 100.0, 1.73872, 0.000258, 1.5
1489010037.109864, 14.655, 11.918, 10000.0, 1.7375795, 0.0002528, 15.0
1489010049.675835, 14.661, 11.929, 1000.0, 1.738173, 0.0002514, 15.0
1489010097.516855, 14.676, 11.948, 100.0, 1.73868, 0.000189, 1.5
1489010108.076782, 14.682, 11.956, 10000.0, 1.7375708, 0.0002533, 15.0
1489010120.636324, 14.687, 11.957, 1000.0, 1.738178, 0.0002512, 15.0
1489010168.479009, 14.703, 11.986, 100.0, 1.738656, 0.000178, 1.5
1489010179.027455, 14.71, 11.993, 10000.0, 1.7375668, 0.0002563, 15.0
1489010191.582038, 14.713, 11.992, 1000.0, 1.73817, 0.000248, 15.0
1489010239.423381, 14.741, 12.031, 100.0, 1.738672, 0.000226, 1.5
1489010249.956194, 14.745, 12.031, 10000.0, 1.737567, 0.0002537, 15.0
1489010262.500931, 14.749, 12.036, 1000.0, 1.7381675, 0.0002484, 15.0
1489010310.341804, 14.775, 12.068, 100.0, 1.738656, 0.000201, 1.5
1489010320.906962, 14.773, 12.072, 10000.0, 1.7375673, 0.00025115, 15.0
1489010333.480213, 14.781, 12.089, 1000.0, 1.738159, 0.000251, 15.0
1489010381.313484, 14.8, 12.116, 100.0, 1.73863, 0.000212, 1.5
1489010391.865998, 14.801, 12.113, 10000.0, 1.737559, 0.0002531, 15.0
1489010404.422811, 14.806, 12.139, 1000.0, 1.738137, 0.000248, 15.0
1489010452.248861, 12.01, 8.5243, 100.0, 1.73847, 0.000189, 1.5
1489010462.781154, 11.977, 8.5251, 10000.0, 1.7373759, 0.0002462, 15.0
1489010475.33206, 11.952, 8.5209, 1000.0, 1.7379357, 0.0002365, 15.0
1489010523.024012, 11.917, 8.5449, 100.0, 1.738413, 0.000299, 1.5
1489010533.446612, 11.916, 9.6538, 10000.0, 1.7373588, 0.0002427, 15.0
1489010545.875921, 11.951, 7.7204, 1000.0, 1.737963, 0.000237, 15.0
1489010593.423669, 9.875, 4.5243, 100.0, 1.738341, 0.000159, 1.5
1489010603.829188, 9.853, 4.5234, 10000.0, 1.737224, 0.000236, 15.0
1489010616.24532, 9.8337, 4.5217, 1000.0, 1.73778, 0.0002318, 15.0
1489010663.755247, 9.7872, 4.5206, 100.0, 1.73826, 0.000172, 1.5
1489010674.181968, 9.7783, 4.5199, 10000.0, 1.737215, 0.0002348, 15.0
1489010686.598361, 9.7752, 4.5193, 1000.0, 1.737721, 0.0002216, 15.0
1489010734.113622, 9.7101, 4.5183, 100.0, 1.737894, 0.000211, 1.5
1489010744.553353, 9.7038, 4.5177, 10000.0, 1.73672, 0.0002061, 15.0
1489010756.969475, 9.6971, 4.5177, 1000.0, 1.7371137, 0.0002006, 15.0
1489010804.495228, 9.6783, 4.5181, 100.0, 1.73734, 0.000111, 1.5
1489010814.920288, 9.675, 4.5172, 10000.0, 1.736431, 0.000184, 15.0
1489010827.448749, 9.6714, 4.5165, 1000.0, 1.736825, 0.000177, 15.0
1489010875.28949, 9.6593, 4.5161, 100.0, 1.737104, 0.00016, 1.5
1489010885.837192, 9.6569, 4.5163, 10000.0, 1.736341, 0.0001751, 15.0
1489010898.380675, 9.6541, 4.5155, 1000.0, 1.736715, 0.0001698, 15.0
