# This data file was created on Mon Apr 10 12:13:18 2017
# Chip ID: 2-06... Sample: GBA131 in parabar... warming up with no bias
Time [s], Temperature A [K], Temperature B [K], Frequency [Hz], Capacitance [pF], Loss tangent, Voltage [V]
# DC bias set to off
1491848022.20385, 13.076, 7.3427, 12000.0, 1.994261, 8.2e-05, 15.0
1491848033.401864, 13.054, 7.1558, 1400.0, 1.994394, 7.1e-05, 15.0
1491848051.598052, 13.237, 7.2348, 400.0, 1.9944511, 5.46e-05, 6.0
1491848058.48425, 13.433, 7.2926, 12000.0, 1.994268, 8.9e-05, 15.0
1491848069.650485, 13.843, 7.3151, 1400.0, 1.994424, 5.6e-05, 15.0
1491848087.880321, 14.603, 7.2787, 400.0, 1.9945095, 5.729e-05, 6.0
1491848094.813821, 14.919, 7.3072, 12000.0, 1.9943229, 7.93e-05, 15.0
1491848105.995324, 15.737, 7.347, 1400.0, 1.994498, 7.1e-05, 15.0
1491848124.212064, 16.794, 7.4108, 400.0, 1.9946131, 6.14e-05, 6.0
1491848131.096658, 17.211, 7.4575, 12000.0, 1.994429, 9.1e-05, 15.0
1491848142.295169, 17.892, 7.4656, 1400.0, 1.994608, 7.1e-05, 15.0
1491848160.522681, 18.999, 7.5831, 400.0, 1.9947301, 7.05e-05, 6.0
1491848167.456771, 19.432, 7.6013, 12000.0, 1.994546, 9.1e-05, 15.0
1491848178.638046, 20.13, 7.7201, 1400.0, 1.9947296, 7.36e-05, 15.0
1491848196.854865, 21.276, 7.6544, 400.0, 1.9948907, 7.9e-05, 6.0
1491848203.804279, 21.722, 7.7574, 12000.0, 1.994649, 0.000103, 15.0
1491848215.017935, 22.429, 7.8782, 1400.0, 1.9948821, 8.98e-05, 15.0
1491848233.248217, 23.602, 7.9079, 400.0, 1.9950719, 9.44e-05, 6.0
1491848240.150856, 24.01, 7.8175, 12000.0, 1.994816, 0.000101, 15.0
1491848251.348035, 24.754, 7.9798, 1400.0, 1.995061, 0.000106, 15.0
1491848269.579721, 25.897, 8.19, 400.0, 1.9953042, 0.0001165, 6.0
1491848276.528638, 26.375, 8.2353, 12000.0, 1.994988, 0.000122, 15.0
1491848287.710723, 27.082, 8.2442, 1400.0, 1.995288, 0.0001253, 15.0
1491848305.924236, 28.279, 8.3883, 400.0, 1.9956059, 0.0001535, 6.0
1491848312.856651, 28.734, 8.4329, 12000.0, 1.995202, 0.000138, 15.0
1491848324.054623, 29.473, 8.5374, 1400.0, 1.995574, 0.0001578, 15.0
1491848342.254135, 30.819, 8.6291, 400.0, 1.9959979, 0.000208, 6.0
1491848349.141221, 31.436, 8.8475, 12000.0, 1.995461, 0.00018, 15.0
1491848360.322902, 32.274, 8.9002, 1400.0, 1.995991, 0.0002159, 15.0
1491848378.535123, 33.543, 8.8544, 400.0, 1.9966031, 0.0002925, 6.0
1491848385.46944, 34.018, 8.9604, 12000.0, 1.995805, 0.000222, 15.0
1491848396.699945, 34.794, 9.0936, 1400.0, 1.996485, 0.000293, 15.0
1491848414.929789, 36.032, 9.2189, 400.0, 1.99729, 0.000393, 6.0
1491848421.862876, 36.518, 9.2421, 12000.0, 1.996187, 0.00027, 15.0
1491848433.079092, 37.284, 9.4113, 1400.0, 1.997104, 0.0003815, 15.0
1491848451.340737, 38.518, 9.6107, 400.0, 1.998162, 0.0005205, 6.0
1491848458.288286, 38.989, 9.6351, 12000.0, 1.996674, 0.00036, 15.0
1491848469.504286, 39.766, 9.6654, 1400.0, 1.9978889, 0.0005035, 15.0
1491848487.765149, 41.012, 9.8254, 400.0, 1.99926, 0.0006898, 6.0
1491848494.715638, 41.488, 9.8385, 12000.0, 1.997271, 0.000456, 15.0
1491848505.960552, 42.248, 9.9244, 1400.0, 1.998868, 0.0006583, 15.0
1491848524.23815, 43.485, 10.086, 400.0, 2.000625, 0.000893, 6.0
1491848531.203435, 43.955, 10.08, 12000.0, 1.997995, 0.00059, 15.0
1491848542.418811, 44.714, 10.179, 1400.0, 2.000059, 0.0008466, 15.0
1491848560.680996, 45.95, 10.247, 400.0, 2.002316, 0.0011283, 6.0
1491848567.614829, 46.412, 10.398, 12000.0, 1.998922, 0.0007513, 15.0
1491848578.86086, 47.174, 10.41, 1400.0, 2.001524, 0.0010751, 15.0
1491848597.074714, 48.549, 10.57, 400.0, 2.004434, 0.0013807, 6.0
1491848604.008813, 49.052, 10.675, 12000.0, 2.000066, 0.000945, 15.0
1491848615.2381, 49.847, 10.701, 1400.0, 2.003466, 0.00134, 15.0
1491848633.46963, 51.12, 10.869, 400.0, 2.006937, 0.001588, 6.0
1491848640.435076, 51.604, 10.827, 12000.0, 2.001455, 0.001189, 15.0
1491848651.632427, 52.363, 11.005, 1400.0, 2.00563, 0.0015776, 15.0
1491848669.846004, 53.588, 11.129, 400.0, 2.009498, 0.0016859, 6.0
1491848676.795567, 54.055, 11.139, 12000.0, 2.003068, 0.001424, 15.0
1491848688.025042, 54.812, 11.203, 1400.0, 2.008, 0.0017405, 15.0
1491848706.257191, 56.031, 11.321, 400.0, 2.012004, 0.001661, 6.0
1491848713.254388, 56.5, 11.359, 12000.0, 2.004904, 0.00166, 15.0
1491848724.499188, 57.253, 11.366, 1400.0, 2.010434, 0.0018071, 15.0
1491848742.7636, 58.458, 11.492, 400.0, 2.014302, 0.001525, 6.0
1491848749.681405, 58.914, 11.609, 12000.0, 2.006962, 0.001865, 15.0
1491848760.925106, 59.643, 11.65, 1400.0, 2.012779, 0.0017448, 15.0
1491848779.174308, 60.795, 11.695, 400.0, 2.016254, 0.001309, 6.0
1491848786.10778, 61.203, 11.766, 12000.0, 2.009078, 0.001993, 15.0
1491848797.336543, 61.762, 11.776, 1400.0, 2.014812, 0.001613, 15.0
1491848815.565885, 62.267, 11.944, 400.0, 2.01742, 0.0011242, 6.0
1491848822.483439, 62.674, 11.886, 12000.0, 2.010467, 0.002035, 15.0
1491848833.713794, 63.568, 11.988, 1400.0, 2.016049, 0.001469, 15.0
1491848851.961077, 65.326, 12.103, 400.0, 2.018745, 0.000848, 6.0
1491848858.878514, 66.007, 12.191, 12000.0, 2.0133085, 0.0019816, 15.0
1491848870.109259, 67.1, 12.215, 1400.0, 2.018251, 0.001117, 15.0
1491848888.368721, 68.746, 12.355, 400.0, 2.020033, 0.0005336, 6.0
1491848895.351905, 69.322, 12.379, 12000.0, 2.016049, 0.0017574, 15.0
1491848906.56536, 70.185, 12.526, 1400.0, 2.019744, 0.000785, 15.0
1491848924.81074, 71.425, 12.591, 400.0, 2.0207805, 0.0003799, 6.0
1491848931.74419, 71.862, 12.726, 12000.0, 2.017841, 0.001501, 15.0
1491848942.960826, 72.541, 12.734, 1400.0, 2.020546, 0.0005769, 15.0
1491848961.190422, 73.603, 12.713, 400.0, 2.02127, 0.0003106, 6.0
1491848968.139578, 74.006, 12.799, 12000.0, 2.01904, 0.001271, 15.0
1491848979.370558, 74.658, 12.873, 1400.0, 2.021094, 0.0004552, 15.0
1491848997.617232, 75.733, 12.853, 400.0, 2.021697, 0.0002766, 6.0
1491849004.582178, 76.155, 12.962, 12000.0, 2.020041, 0.001057, 15.0
1491849015.812123, 76.85, 13.172, 1400.0, 2.0215685, 0.0003724, 15.0
1491849034.042885, 78.022, 13.092, 400.0, 2.022128, 0.0002583, 6.0
1491849040.974598, 78.491, 13.092, 12000.0, 2.020874, 0.000828, 15.0
1491849052.204984, 79.262, 13.145, 1400.0, 2.022042, 0.0003165, 15.0
1491849070.434507, 80.603, 13.288, 400.0, 2.022596, 0.0002498, 6.0
1491849077.416288, 81.136, 13.344, 12000.0, 2.021609, 0.000648, 15.0
1491849088.663294, 81.989, 13.363, 1400.0, 2.022538, 0.0002832, 15.0
1491849106.910109, 83.304, 13.419, 400.0, 2.023118, 0.0002449, 6.0
1491849113.827634, 83.775, 13.469, 12000.0, 2.022231, 0.000513, 15.0
1491849125.073742, 84.519, 13.561, 1400.0, 2.023002, 0.0002698, 15.0
1491849143.336196, 85.671, 13.628, 400.0, 2.0235683, 0.000235, 6.0
1491849150.26926, 86.106, 13.608, 12000.0, 2.022683, 0.000427, 15.0
1491849161.481949, 86.811, 13.721, 1400.0, 2.023434, 0.000261, 15.0
1491849179.711709, 87.991, 13.808, 400.0, 2.023961, 0.0002261, 6.0
1491849186.661099, 88.449, 13.87, 12000.0, 2.023107, 0.000362, 15.0
1491849197.87697, 89.196, 13.804, 1400.0, 2.0238358, 0.0002531, 15.0
1491849216.122973, 90.436, 13.967, 400.0, 2.0243624, 0.0002173, 6.0
1491849223.071275, 90.918, 13.946, 12000.0, 2.023513, 0.000339, 15.0
1491849234.3023, 91.709, 14.046, 1400.0, 2.024261, 0.000246, 15.0
1491849252.562789, 92.97, 14.058, 400.0, 2.0247569, 0.0002135, 6.0
1491849259.514462, 93.44, 14.056, 12000.0, 2.023947, 0.0003157, 15.0
1491849270.742492, 94.192, 14.198, 1400.0, 2.024666, 0.000235, 15.0
1491849288.973936, 95.38, 14.259, 400.0, 2.0251325, 0.0002118, 6.0
1491849295.905374, 95.823, 14.162, 12000.0, 2.024335, 0.000299, 15.0
1491849307.153605, 96.542, 14.239, 1400.0, 2.02502, 0.000228, 15.0
1491849325.417795, 97.733, 14.396, 400.0, 2.0254835, 0.000211, 6.0
1491849332.383643, 98.193, 14.379, 12000.0, 2.024696, 0.000283, 15.0
1491849343.612884, 98.947, 14.536, 1400.0, 2.025374, 0.000226, 15.0
1491849361.842917, 100.187, 14.631, 400.0, 2.0258282, 0.000211, 6.0
1491849368.792362, 100.658, 14.54, 12000.0, 2.025067, 0.000286, 15.0
1491849380.022936, 101.42, 14.639, 1400.0, 2.0257033, 0.0002223, 15.0
1491849398.250658, 102.658, 14.704, 400.0, 2.026179, 0.0002091, 6.0
1491849405.199969, 103.126, 14.781, 12000.0, 2.025398, 0.000269, 15.0
1491849416.446483, 103.876, 14.692, 1400.0, 2.026075, 0.000219, 15.0
1491849434.675957, 105.084, 14.782, 400.0, 2.026513, 0.0002042, 6.0
1491849441.625363, 105.534, 14.855, 12000.0, 2.02576, 0.000252, 15.0
1491849452.887035, 106.26, 14.889, 1400.0, 2.026366, 0.000227, 15.0
1491849471.15127, 107.451, 15.013, 400.0, 2.0268375, 0.0002034, 6.0
1491849478.132536, 107.91, 15.013, 12000.0, 2.026049, 0.000252, 15.0
1491849489.362509, 108.659, 15.102, 1400.0, 2.026707, 0.000223, 15.0
1491849507.605962, 109.897, 15.173, 400.0, 2.027154, 0.0002019, 6.0
1491849514.541199, 110.369, 15.128, 12000.0, 2.026386, 0.000253, 15.0
1491849525.787037, 111.135, 15.151, 1400.0, 2.0270222, 0.0002181, 15.0
1491849544.00084, 112.382, 15.224, 400.0, 2.027467, 0.0001965, 6.0
1491849550.997665, 112.855, 15.365, 12000.0, 2.026715, 0.0002481, 15.0
1491849562.228213, 113.611, 15.323, 1400.0, 2.027332, 0.000212, 15.0
1491849580.472369, 114.822, 15.503, 400.0, 2.027763, 0.0001959, 6.0
1491849587.454983, 115.276, 15.418, 12000.0, 2.027022, 0.000232, 15.0
1491849598.668374, 116.009, 15.544, 1400.0, 2.027626, 0.000215, 15.0
1491849616.898037, 117.2, 15.626, 400.0, 2.0280624, 0.0001953, 6.0
1491849623.831712, 117.654, 15.594, 12000.0, 2.027294, 0.000244, 15.0
1491849635.063479, 118.391, 15.619, 1400.0, 2.027925, 0.000207, 15.0
1491849653.309311, 119.587, 15.742, 400.0, 2.028337, 0.0001939, 6.0
1491849660.290724, 120.054, 18.626, 12000.0, 2.027585, 0.000239, 15.0
1491849671.521558, 120.845, 29.381, 1400.0, 2.028204, 0.000213, 15.0
1491849689.782941, 122.566, 36.415, 400.0, 2.028657, 0.0001945, 6.0
1491849696.749228, 123.343, 37.86, 12000.0, 2.027972, 0.0002332, 15.0
1491849707.993422, 124.634, 38.668, 1400.0, 2.028645, 0.000204, 15.0
1491849726.257579, 126.764, 41.116, 400.0, 2.0291592, 0.0001904, 6.0
1491849733.238772, 127.601, 42.081, 12000.0, 2.0285094, 0.0002382, 15.0
1491849744.420595, 128.967, 43.575, 1400.0, 2.029144, 0.000202, 15.0
1491849762.66605, 131.209, 45.876, 400.0, 2.0296611, 0.0001944, 6.0
1491849769.647676, 132.073, 46.724, 12000.0, 2.0289994, 0.0002374, 15.0
1491849780.892809, 133.453, 48.049, 1400.0, 2.029659, 0.000214, 15.0
1491849799.140035, 135.678, 50.063, 400.0, 2.03017, 0.0001983, 6.0
1491849806.072761, 136.532, 50.789, 12000.0, 2.02961, 0.000231, 15.0
1491849817.285475, 137.901, 51.931, 1400.0, 2.03025, 0.0002164, 15.0
1491849835.54716, 140.131, 53.701, 400.0, 2.030769, 0.0002018, 6.0
1491849842.480973, 140.976, 54.345, 12000.0, 2.030064, 0.000236, 15.0
1491849853.679589, 142.351, 55.357, 1400.0, 2.030723, 0.0002127, 15.0
1491849871.940488, 144.558, 56.935, 400.0, 2.0312357, 0.0002053, 6.0
1491849878.890883, 145.389, 57.508, 12000.0, 2.030505, 0.000246, 15.0
1491849890.103284, 146.702, 58.415, 1400.0, 2.03118, 0.000223, 15.0
1491849908.332665, 148.793, 59.844, 400.0, 2.031675, 0.0002086, 6.0
1491849915.313864, 149.595, 60.376, 12000.0, 2.030949, 0.000243, 15.0
1491849926.545679, 150.869, 61.217, 1400.0, 2.031582, 0.000227, 15.0
1491849944.80704, 152.923, 62.552, 400.0, 2.0320882, 0.0002084, 6.0
1491849951.772343, 153.702, 63.05, 12000.0, 2.03132, 0.000246, 15.0
1491849962.999999, 154.954, 63.827, 1400.0, 2.031992, 0.000223, 15.0
1491849981.246238, 156.968, 65.065, 400.0, 2.032481, 0.0002125, 6.0
1491849988.211436, 157.727, 65.531, 12000.0, 2.03173, 0.000246, 15.0
1491849999.443225, 158.952, 66.27, 1400.0, 2.032383, 0.0002244, 15.0
1491850017.673338, 160.915, 67.453, 400.0, 2.032871, 0.000214, 6.0
1491850024.622862, 161.661, 67.897, 12000.0, 2.032102, 0.000253, 15.0
1491850035.838167, 162.854, 68.609, 1400.0, 2.032761, 0.0002292, 15.0
1491850054.066191, 164.718, 69.737, 400.0, 2.0332556, 0.0002159, 6.0
1491850060.985188, 165.407, 70.159, 12000.0, 2.032476, 0.000248, 15.0
1491850072.245041, 166.519, 70.839, 1400.0, 2.033135, 0.000233, 15.0
1491850090.492216, 168.341, 71.93, 400.0, 2.033626, 0.0002177, 6.0
1491850097.425625, 169.051, 72.341, 12000.0, 2.03282, 0.000261, 15.0
1491850108.640341, 170.174, 73.002, 1400.0, 2.03352, 0.000236, 15.0
1491850126.873457, 171.958, 74.068, 400.0, 2.0340151, 0.0002217, 6.0
1491850133.838103, 172.636, 74.474, 12000.0, 2.033213, 0.0002557, 15.0
1491850145.051752, 173.721, 75.12, 1400.0, 2.033899, 0.00024, 15.0
1491850163.313229, 175.457, 76.145, 400.0, 2.0344022, 0.0002254, 6.0
1491850170.263045, 176.11, 76.536, 12000.0, 2.033576, 0.00026, 15.0
1491850181.493786, 177.156, 77.159, 1400.0, 2.034292, 0.0002433, 15.0
1491850199.708765, 178.834, 78.166, 400.0, 2.034798, 0.0002299, 6.0
1491850206.657905, 179.471, 78.547, 12000.0, 2.033977, 0.00026, 15.0
1491850217.869949, 180.485, 79.16, 1400.0, 2.034674, 0.0002447, 15.0
1491850236.117853, 182.124, 80.151, 400.0, 2.0352017, 0.0002376, 6.0
1491850243.08445, 182.748, 80.529, 12000.0, 2.0343538, 0.0002728, 15.0
1491850254.296679, 183.747, 81.13, 1400.0, 2.035077, 0.0002476, 15.0
1491850272.545604, 185.355, 82.09, 400.0, 2.0356036, 0.0002402, 6.0
1491850279.478383, 185.971, 82.453, 12000.0, 2.034736, 0.0002722, 15.0
1491850290.675738, 186.955, 83.039, 1400.0, 2.035468, 0.000257, 15.0
1491850308.908412, 188.529, 83.988, 400.0, 2.0360079, 0.0002485, 6.0
1491850315.857633, 189.126, 84.346, 12000.0, 2.035132, 0.000278, 15.0
1491850327.086864, 190.089, 84.926, 1400.0, 2.035859, 0.0002627, 15.0
1491850345.302957, 191.625, 85.865, 400.0, 2.0364001, 0.00025883, 6.0
1491850352.187235, 192.2, 86.218, 12000.0, 2.035488, 0.000284, 15.0
1491850363.353608, 193.126, 86.789, 1400.0, 2.036244, 0.000278, 15.0
1491850381.566874, 194.621, 87.703, 400.0, 2.0368, 0.0002747, 6.0
1491850388.501218, 195.186, 88.052, 12000.0, 2.035821, 0.000287, 15.0
1491850399.666691, 196.093, 88.607, 1400.0, 2.036604, 0.000284, 15.0
1491850417.865092, 197.554, 89.509, 400.0, 2.0371934, 0.0002956, 6.0
1491850424.813813, 198.106, 89.853, 12000.0, 2.036157, 0.000315, 15.0
1491850436.011982, 198.992, 90.406, 1400.0, 2.036982, 0.000303, 15.0
1491850454.257347, 200.415, 91.305, 400.0, 2.0376158, 0.0003248, 6.0
1491850461.142473, 200.951, 91.643, 12000.0, 2.036531, 0.000317, 15.0
1491850472.340415, 201.809, 92.193, 1400.0, 2.037401, 0.0003345, 15.0
1491850490.522617, 203.185, 93.083, 400.0, 2.0381021, 0.0003721, 6.0
1491850497.455633, 203.705, 93.421, 12000.0, 2.036906, 0.0003284, 15.0
1491850508.654586, 204.535, 93.958, 1400.0, 2.037848, 0.0003743, 15.0
1491850526.853113, 205.867, 94.823, 400.0, 2.0386648, 0.0004403, 6.0
1491850533.786638, 206.365, 95.151, 12000.0, 2.037281, 0.000361, 15.0
1491850545.016284, 207.178, 95.679, 1400.0, 2.03836, 0.000425, 15.0
1491850563.213801, 208.476, 96.531, 400.0, 2.039319, 0.0005369, 6.0
1491850570.13141, 208.966, 96.856, 12000.0, 2.0377298, 0.0003992, 15.0
1491850581.346865, 209.752, 97.379, 1400.0, 2.0389153, 0.0004997, 15.0
1491850599.527655, 211.017, 98.227, 400.0, 2.040018, 0.0006568, 6.0
1491850606.42906, 211.492, 98.55, 12000.0, 2.038125, 0.000437, 15.0
1491850617.658894, 212.262, 99.073, 1400.0, 2.039486, 0.0005914, 15.0
1491850635.85784, 213.511, 99.924, 400.0, 2.040787, 0.0008108, 6.0
1491850642.79104, 213.979, 100.248, 12000.0, 2.038559, 0.000492, 15.0
1491850654.021092, 214.734, 100.77, 1400.0, 2.0400972, 0.0007068, 15.0
1491850672.249801, 215.95, 101.605, 400.0, 2.041638, 0.0010021, 6.0
1491850679.183215, 216.41, 101.924, 12000.0, 2.038947, 0.000553, 15.0
1491850690.364631, 217.148, 102.439, 1400.0, 2.040704, 0.0008451, 15.0
1491850708.565696, 218.336, 103.276, 400.0, 2.0425216, 0.0012162, 6.0
1491850715.515275, 218.789, 103.596, 12000.0, 2.039264, 0.000626, 15.0
1491850726.759976, 219.521, 104.114, 1400.0, 2.041308, 0.0010039, 15.0
1491850745.007635, 220.721, 104.953, 400.0, 2.043444, 0.0014463, 6.0
1491850751.954737, 221.174, 105.275, 12000.0, 2.03951, 0.000703, 15.0
1491850763.137615, 221.906, 105.788, 1400.0, 2.041893, 0.00119, 15.0
1491850781.319154, 223.094, 106.625, 400.0, 2.044413, 0.0016709, 6.0
1491850788.252869, 223.55, 106.942, 12000.0, 2.039719, 0.0008014, 15.0
1491850799.483147, 224.286, 107.457, 1400.0, 2.042507, 0.0013813, 15.0
1491850817.665642, 225.489, 108.29, 400.0, 2.045474, 0.0018645, 6.0
1491850824.583941, 225.951, 108.607, 12000.0, 2.039933, 0.000922, 15.0
1491850835.749739, 226.699, 109.114, 1400.0, 2.043215, 0.001585, 15.0
1491850853.964284, 227.951, 109.926, 400.0, 2.046659, 0.0020088, 6.0
1491850860.879842, 228.436, 110.235, 12000.0, 2.040213, 0.001066, 15.0
1491850872.078178, 229.235, 110.732, 1400.0, 2.044089, 0.0017792, 15.0
1491850890.261684, 230.568, 111.539, 400.0, 2.047959, 0.0020605, 6.0
1491850897.210857, 231.087, 111.846, 12000.0, 2.040588, 0.0012298, 15.0
1491850908.440794, 231.944, 112.343, 1400.0, 2.045158, 0.001951, 15.0
1491850926.622945, 233.371, 113.143, 400.0, 2.049249, 0.0019822, 6.0
1491850933.540155, 233.915, 113.446, 12000.0, 2.0410753, 0.0014361, 15.0
1491850944.753675, 234.832, 113.938, 1400.0, 2.046413, 0.0020479, 15.0
1491850962.935185, 236.456, 114.735, 400.0, 2.050364, 0.0017889, 6.0
1491850969.836746, 237.085, 115.038, 12000.0, 2.041824, 0.001663, 15.0
1491850981.018654, 238.131, 115.527, 1400.0, 2.0477813, 0.002005, 15.0
1491850999.21785, 239.933, 116.324, 400.0, 2.0511481, 0.0015269, 6.0
1491851006.118333, 240.641, 116.627, 12000.0, 2.042881, 0.001888, 15.0
1491851017.315887, 241.725, 117.116, 1400.0, 2.048977, 0.0018032, 15.0
1491851035.530872, 243.285, 117.918, 400.0, 2.051561, 0.0013225, 6.0
1491851042.447658, 243.835, 118.217, 12000.0, 2.043954, 0.002002, 15.0
1491851053.678118, 244.694, 118.703, 1400.0, 2.049627, 0.0015838, 15.0
1491851071.876031, 246.04, 119.491, 400.0, 2.0517313, 0.0011805, 6.0
1491851078.761703, 246.537, 119.789, 12000.0, 2.044874, 0.002004, 15.0
1491851089.95963, 247.336, 120.275, 1400.0, 2.049944, 0.0014063, 15.0
1491851108.157168, 248.614, 121.066, 400.0, 2.0517937, 0.0011022, 6.0
1491851115.09013, 249.095, 121.367, 12000.0, 2.045621, 0.001941, 15.0
1491851126.288559, 249.867, 121.854, 1400.0, 2.0501064, 0.0012997, 15.0
1491851144.502067, 251.097, 122.646, 400.0, 2.0517908, 0.0010258, 6.0
1491851151.467484, 251.56, 122.949, 12000.0, 2.046215, 0.001816, 15.0
1491851162.682688, 252.308, 123.438, 1400.0, 2.050169, 0.001207, 15.0
1491851180.910721, 253.508, 124.232, 400.0, 2.0517295, 0.0009621, 6.0
1491851187.795923, 253.957, 124.532, 12000.0, 2.046621, 0.001676, 15.0
1491851198.977955, 254.667, 125.02, 1400.0, 2.050172, 0.0011408, 15.0
1491851217.192965, 255.816, 125.813, 400.0, 2.0516001, 0.0009017, 6.0
1491851224.12656, 256.252, 126.115, 12000.0, 2.046902, 0.001548, 15.0
1491851235.29248, 256.949, 126.6, 1400.0, 2.050137, 0.0010785, 15.0
1491851253.49125, 258.074, 127.393, 400.0, 2.0514315, 0.000852, 6.0
1491851260.472002, 258.501, 127.694, 12000.0, 2.047038, 0.001431, 15.0
1491851271.670999, 259.185, 128.173, 1400.0, 2.050065, 0.0010307, 15.0
1491851289.85168, 260.285, 128.951, 400.0, 2.0512128, 0.0008037, 6.0
1491851296.800132, 260.702, 129.248, 12000.0, 2.047109, 0.001329, 15.0
1491851307.999256, 261.37, 129.727, 1400.0, 2.049936, 0.000961, 15.0
1491851326.198258, 262.443, 130.505, 400.0, 2.0509652, 0.00076109, 6.0
1491851333.098881, 262.846, 130.799, 12000.0, 2.047126, 0.00125, 15.0
1491851344.329291, 263.499, 131.28, 1400.0, 2.049794, 0.00091, 15.0
1491851362.526192, 264.551, 132.058, 400.0, 2.0507001, 0.0007242, 6.0
1491851369.427233, 264.944, 132.354, 12000.0, 2.047095, 0.00118, 15.0
1491851380.60879, 265.577, 132.831, 1400.0, 2.049608, 0.0008639, 15.0
1491851398.806606, 266.6, 133.608, 400.0, 2.0504213, 0.0006991, 6.0
1491851405.69287, 266.984, 133.901, 12000.0, 2.047, 0.001122, 15.0
1491851416.9224, 267.606, 134.38, 1400.0, 2.049397, 0.000819, 15.0
1491851435.135812, 268.609, 135.158, 400.0, 2.0501152, 0.0006805, 6.0
1491851442.069871, 268.988, 135.454, 12000.0, 2.046957, 0.001061, 15.0
1491851453.267232, 269.596, 135.932, 1400.0, 2.049157, 0.00077, 15.0
1491851471.465098, 270.572, 136.707, 400.0, 2.049807, 0.0006557, 6.0
1491851478.399818, 270.941, 137.003, 12000.0, 2.046818, 0.001005, 15.0
1491851489.597955, 271.531, 137.479, 1400.0, 2.048896, 0.0007349, 15.0
1491851507.796357, 272.489, 138.24, 400.0, 2.0495034, 0.0006477, 6.0
1491851514.745642, 272.851, 138.53, 12000.0, 2.046705, 0.000978, 15.0
1491851525.976928, 273.433, 139.0, 1400.0, 2.048623, 0.0006983, 15.0
1491851544.191004, 274.37, 139.76, 400.0, 2.0491796, 0.000624, 6.0
1491851551.140486, 274.724, 140.051, 12000.0, 2.046563, 0.000926, 15.0
1491851562.323288, 275.291, 140.516, 1400.0, 2.048338, 0.000676, 15.0
1491851580.553345, 276.2, 141.277, 400.0, 2.0488579, 0.0006221, 6.0
1491851587.487062, 276.543, 141.566, 12000.0, 2.046386, 0.000878, 15.0
1491851598.6539, 277.095, 142.03, 1400.0, 2.04804, 0.0006457, 15.0
1491851616.900791, 277.98, 142.788, 400.0, 2.048542, 0.0006066, 6.0
1491851623.851125, 278.312, 143.077, 12000.0, 2.046191, 0.00083, 15.0
1491851635.079809, 278.849, 143.545, 1400.0, 2.047748, 0.000625, 15.0
1491851653.329463, 279.71, 144.301, 400.0, 2.0482227, 0.0006007, 6.0
1491851660.263083, 280.035, 144.589, 12000.0, 2.045985, 0.000787, 15.0
1491851671.509756, 280.556, 145.055, 1400.0, 2.047439, 0.000598, 15.0
1491851689.709089, 281.39, 145.808, 400.0, 2.0479031, 0.0006022, 6.0
1491851696.658378, 281.702, 146.095, 12000.0, 2.045752, 0.0007531, 15.0
1491851707.905716, 282.215, 146.559, 1400.0, 2.047137, 0.0005994, 15.0
1491851726.102199, 283.031, 147.311, 400.0, 2.0475862, 0.0005969, 6.0
1491851733.019105, 283.338, 147.597, 12000.0, 2.045506, 0.0007214, 15.0
1491851744.217631, 283.832, 148.058, 1400.0, 2.0468209, 0.000584, 15.0
1491851762.414128, 284.624, 148.794, 400.0, 2.0472592, 0.0005794, 6.0
1491851769.347695, 284.925, 149.075, 12000.0, 2.04525, 0.000685, 15.0
1491851780.515087, 285.4, 149.525, 1400.0, 2.046512, 0.000566, 15.0
1491851798.697368, 286.173, 150.26, 400.0, 2.0469405, 0.0005757, 6.0
1491851805.614851, 286.465, 150.54, 12000.0, 2.045014, 0.000658, 15.0
1491851816.829366, 286.933, 150.991, 1400.0, 2.046197, 0.000555, 15.0
1491851835.044956, 287.682, 151.723, 400.0, 2.0466169, 0.0005603, 6.0
1491851842.041608, 287.968, 152.005, 12000.0, 2.044737, 0.000619, 15.0
1491851853.239937, 288.422, 152.456, 1400.0, 2.045884, 0.000548, 15.0
1491851871.452988, 289.158, 153.186, 400.0, 2.046297, 0.0005631, 6.0
1491851878.386119, 289.438, 153.463, 12000.0, 2.044459, 0.000624, 15.0
1491851889.568125, 289.887, 153.912, 1400.0, 2.045617, 0.0005503, 15.0
1491851907.780695, 290.617, 154.639, 400.0, 2.0459887, 0.0005838, 6.0
1491851914.682475, 290.88, 154.914, 12000.0, 2.044156, 0.000605, 15.0
1491851925.88099, 291.321, 155.362, 1400.0, 2.045293, 0.000548, 15.0
1491851944.062489, 292.034, 156.086, 400.0, 2.0456539, 0.0005826, 6.0
1491851950.995653, 292.305, 156.362, 12000.0, 2.043888, 0.000583, 15.0
1491851962.226071, 292.739, 156.808, 1400.0, 2.0449491, 0.0005371, 15.0
1491851980.423411, 293.438, 157.532, 400.0, 2.0453068, 0.0005802, 6.0
1491851987.340519, 293.7, 157.805, 12000.0, 2.043542, 0.0005655, 15.0
1491851998.571766, 294.124, 158.251, 1400.0, 2.044598, 0.0005349, 15.0
1491852016.752912, 294.806, 158.971, 400.0, 2.0449539, 0.0005755, 6.0
1491852023.670576, 295.065, 159.243, 12000.0, 2.043222, 0.000552, 15.0
1491852034.868908, 295.481, 159.601, 1400.0, 2.044252, 0.0005342, 15.0
1491852053.064783, 296.012, 160.641, 400.0, 2.0446017, 0.0005803, 6.0
